Numer;Nazwa;Cena;Grupa
2;Boisko Łebieniec;
4;Kościół Łebieniec;
5;Parking;
6;Przystanek Szczenurze I;
7;Kościół Parafialny;
9;Jezioro Sarbsko;
10;Sea Park;
12;Farma Wujka Janka; 
13;Transformator;
14;Dom Cioci Lucyny;
15;Bocianie Gniazdo;
16;Przystanek Szczenurze II;
17;Dom Leśniczego;
19;Kolonia;
20;Jezioro Czarne;
22;Dom Borowców;
24;Dom Karinki i Błażej;
25;Dom Kuby;
26;Przystanek Szczenurze III;
27;Fryzjer;
28;Park;
29;Staw;
30;Sklep;
32;Świetlica;
33;Przedszkole;
35;Szkoła;
36;Przystanek Szczenurze Szkoła;
38;Plac Zabaw;
39;Podatek Od Alkoholu;
40;Boisko;
